Taxa.name,Class,Order,Motile,Heterotrophic,Mixotrophic,Autotrophic,Small.Large,Filament,Colonial,Geometrical.shape.of.the.cell,Centric,aerotopes,size,genus,species,Gelatinous
Chrysastrella furcata,Chrysophyceae,,1,0,1,0,Nanophytoplancton,0,0,ell,NA,0,small,Chrysastrella,furcata,0
Chrysococcus minutus,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Chrysococcus,minutus,1
Chrysococcus sp.,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Chrysococcus,,0
Chrysolykos angulatum,Chrysophyceae,Chromulinales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Chrysolykos,angulatum,0
Chrysolykos gracilis,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Chrysolykos,gracilis,1
Chrysolykos planctonicus,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Chrysolykos,planctonicus,0
Chrysolykos skujai,Chrysophyceae,Chromulinales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Chrysolykos,skujai,0
chrysophycee sp.,Chrysophyceae,,0,0,1,0,Nanophytoplancton,0,0,ell,NA,0,small,chrysophycee,,0
Cladomonas fruticulosa,Chrysophyceae,,0,0,1,0,Nanophytoplancton,0,1,ell,NA,0,small,Cladomonas,fruticulosa,0
Closteriopsis longissima,Chlorophyceae,Sphaeropleales,0,0,0,1,Microphytoplancton,0,0,doco,0,0,large,Closteriopsis,longissima,1
Closterium acerosum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,acerosum,1
Closterium aciculare,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,aciculare,1
Closterium acutum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,doco,0,0,large,Closterium,acutum,1
Closterium acutum var. latius,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,acutum,1
Closterium acutum var. linea,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,acutum,1
Closterium acutum var. variabile,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,acutum,1
Closterium cf. lanceolatum var. parvum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,doco,0,0,large,Closterium,cf.,1
Closterium cornu,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,cornu,1
Closterium dianae,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,dianae,1
Closterium ehrenbergii,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,ehrenbergii,1
Closterium gracile,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,gracile,1
Closterium jenneri,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,jenneri,1
Closterium limneticum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,limneticum,1
Closterium lineatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,lineatum,1
Closterium monoliferum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,monoliferum,1
Closterium nordstedtii,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,nordstedtii,1
Closterium parvulum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,parvulum,1
Closterium pronum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,doco,0,0,large,Closterium,pronum,1
Closterium sp.,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,,1
Closterium sp1,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,tub,NA,0,small,Closterium,,1
Closterium strigosum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,doco,0,0,large,Closterium,strigosum,1
Closterium striolatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,tub,NA,0,large,Closterium,striolatum,1
Closterium venus var. westii,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,doco,0,0,large,Closterium,venus,1
Coccomonas platyformis,Chlorophyceae,Chlorococcales,1,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Coccomonas,platyformis,1
Coccomyxa littoralis,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Coccomyxa,littoralis,0
Cocconeis pediculus,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cocconeis,pediculus,0
Cocconeis placentula,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cocconeis,placentula,0
Cocconeis placentula var. euglypta,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cocconeis,placentula,0
Cocconeis sp.,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cocconeis,,0
Codosiga botrytis,Choanoflagellatea,Choanoflagellida,0,1,0,0,Nanophytoplancton,0,0,ell,NA,0,small,Codosiga,botrytis,0
Codosiga sp.,Choanoflagellatea,Choanoflagellida,0,1,0,0,Nanophytoplancton,0,0,ell,NA,0,small,Codosiga,,0
Coelastrum astroideum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,astroideum,1
Coelastrum cambricum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,cambricum,1
Coelastrum indicum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,indicum,1
Coelastrum microporum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,microporum,1
Coelastrum morus,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,morus,1
Coelastrum pseudomicroporum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,pseudomicroporum,1
Coelastrum reticulatum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,reticulatum,1
Coelastrum reticulatum 3 cellules,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Coelastrum,reticulatum,1
Coelastrum sp cellule seule,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Coelastrum,,1
Coelastrum sphaericum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelastrum,sphaericum,1
Coelosphaerium kutzingii,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coelosphaerium,kutzingii,1
Coenochloris hindakii,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,NA,0,large,Coenochloris,hindakii,1
Coenochloris ovalis,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,trel,NA,0,large,Coenochloris,ovalis,1
Coenochloris pyrenoideum var. minimum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,NA,0,large,Coenochloris,pyrenoideum,1
Coenochloris pyrenoidosa,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,NA,0,large,Coenochloris,pyrenoidosa,1
Coenochloris sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,NA,0,large,Coenochloris,,1
Coenocystis planctonica var. hercynica,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coenocystis,planctonica,0
Coenocystis sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coenocystis,,0
Coenocystis subcylindrica,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Coenocystis,subcylindrica,0
Cosmarium abbreviatum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,abbreviatum,1
Cosmarium abbreviatum f. minor,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,abbreviatum,1
Cosmarium biretum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,biretum,1
Cosmarium blytii,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,blytii,1
Cosmarium botrytis,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,botrytis,1
Cosmarium brebissonii,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,brebissonii,1
Cosmarium depressum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,depressum,1
Cosmarium depressum var. planctonicum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,depressum,1
Cosmarium granatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,granatum,1
Cosmarium impressulum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,impressulum,1
Cosmarium laeve,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,laeve,1
Cosmarium margaritiferum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,margaritiferum,1
Cosmarium margaritiferum f. regularius,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,margaritiferum,1
Cosmarium meneghenii,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,meneghenii,1
Cosmarium minimum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,minimum,1
Cosmarium novae-semliae var. sibericum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,novae-semliae,1
Cosmarium octhodes,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,octhodes,1
Cosmarium ornatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,ornatum,1
Cosmarium phaseolus,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,phaseolus,1
Cosmarium phaseolus var. minus,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,phaseolus,1
Cosmarium polygonum var. hexagonum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,box,0,0,small,Cosmarium,polygonum,1
Cosmarium protractum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,protractum,1
Cosmarium pseudonitidulum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,pseudonitidulum,1
Cosmarium pseudoornatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,pseudoornatum,1
Cosmarium pseudopyramidum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,pseudopyramidum,1
Cosmarium punctulatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,punctulatum,1
Cosmarium pusillum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,pusillum,1
Cosmarium pygmaeum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,pygmaeum,1
Cosmarium pygmaeum var. heimerlii,Zygnematophyceae,Zygnematales,0,NA,NA,NA,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,pygmaeum,1
Cosmarium regnellii,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,regnellii,1
Cosmarium reniforme,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,reniforme,1
Cosmarium sexangulare var. minus,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,sexangulare,1
Cosmarium skujae,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,skujae,1
Cosmarium sp.,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,,1
Cosmarium sp1,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,,1
Cosmarium spp.,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,,1
Cosmarium subcostatum var. minus,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,subcostatum,1
Cosmarium subcostatum var. subcostatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,subcostatum,1
Cosmarium subcremulatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,subcremulatum,1
Cosmarium subcrenatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,subcrenatum,1
Cosmarium subgranatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,subgranatum,1
Cosmarium subprotumidum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,subprotumidum,1
Cosmarium subprotumidum var. gregorii,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,subprotumidum,1
Cosmarium subsalsum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Cosmarium,subsalsum,1
Cosmarium tenue,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Cosmarium,tenue,1
Cosmarium tumidum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,tumidum,1
Cosmarium tumidum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,tumidum,1
Cosmarium turpinii,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,turpinii,1
Cosmarium undulatum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,undulatum,1
Cosmarium undulatum var. minutum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,undulatum,1
Cosmarium venustum,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,trel,0,0,large,Cosmarium,venustum,1
Cosmarium venustum var. minus,Zygnematophyceae,Zygnematales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Cosmarium,venustum,1
Crucigenia fenestrata,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Crucigenia,fenestrata,1
Crucigenia lauterbornii,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Crucigenia,lauterbornii,1
Crucigenia mucronata,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Crucigenia,mucronata,1
Crucigenia quadrata,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Crucigenia,quadrata,1
Crucigenia tetrapedia,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Crucigenia,tetrapedia,0
Crucigeniella apiculata,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Crucigeniella,apiculata,1
Crucigeniella crucifera,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Crucigeniella,crucifera,1
Crucigeniella lunaris,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Crucigeniella,lunaris,1
Crucigeniella pulchra,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Crucigeniella,pulchra,1
Crucigeniella rectangularis,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Crucigeniella,rectangularis,1
Cryptomonas cf. brevis,Cryptophyceae,Cryptomonadales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Cryptomonas,cf.,0
Cryptomonas cf. lucens,Cryptophyceae,Cryptomonadales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Cryptomonas,cf.,0
Cryptomonas cf. pyrenoïdifera,Cryptophyceae,Cryptomonadales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Cryptomonas,cf.,0
Cryptomonas marsonii,Cryptophyceae,Cryptomonadales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Cryptomonas,marsonii,0
Cryptomonas ovata,Cryptophyceae,Cryptomonadales,1,0,1,0,Microphytoplancton,0,0,trel,0,0,large,Cryptomonas,ovata,0
Cryptomonas rostrata,Cryptophyceae,Cryptomonadales,1,0,1,0,Microphytoplancton,0,0,trel,0,0,large,Cryptomonas,rostrata,0
Cryptomonas rostratiformis,Cryptophyceae,Cryptomonadales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Cryptomonas,rostratiformis,0
Cryptomonas sp.,Cryptophyceae,Cryptomonadales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Cryptomonas,,0
"Cyanobactéries indéterminées Ø < 2,5µm",Cyanobacteria,,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Cyanobacteries,indeterminees,0
"Cyanobactéries indéterminées Ø > 2,5µm",Cyanobacteria,,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Cyanobacteries,indeterminees,0
Cyanobium sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Cyanobium,,0
Cyanodictyon planctonicum,Cyanobacteria,Synechococcales,0,0,0,1,Microphytoplancton,0,1,trel,NA,0,large,Cyanodictyon,planctonicum,1
Cyanosarcina chroococcoides,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,NA,0,large,Cyanosarcina,chroococcoides,1
Cyclostephanos dubius,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,NA,0,small,Cyclostephanos,dubius,0
Cyclostephanos invisitatus,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,NA,0,small,Cyclostephanos,invisitatus,0
Cyclotella atomus,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,atomus,0
Cyclotella atomus var. gracilis,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,atomus,0
Cyclotella bodanica var. bodanica,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,bodanica,0
Cyclotella bodanica var. lemanensis,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,bodanica,0
Cyclotella cf. distinguenda var. unipunctata,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,cf.,0
Cyclotella cf. quadrijuncta,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,cf.,0
Cyclotella cf. rossii,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,cf.,0
Cyclotella comensis,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,comensis,0
Cyclotella costei,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,costei,0
Cyclotella costei f. petite aire centrale,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,costei,0
Cyclotella cyclopuncta,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,cyclopuncta,0
Cyclotella delicatula,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,delicatula,0
Cyclotella distinguenda,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,distinguenda,0
Cyclotella glabriuscula,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,glabriuscula,0
Cyclotella kuetzingiana,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,kuetzingiana,0
Cyclotella meduanae,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,meduanae,0
Cyclotella meneghiniana,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,meneghiniana,0
Cyclotella ocellata,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,ocellata,0
Cyclotella operculata,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,operculata,0
Cyclotella planctonica,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,planctonica,0
Cyclotella polymorpha,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,polymorpha,0
Cyclotella pseudostelligera,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,pseudostelligera,0
Cyclotella radiosa,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Microphytoplancton,0,0,tub,1,0,large,Cyclotella,radiosa,0
Cyclotella sp.,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,,0
Cyclotella spp<9µm /Stephanodiscus minutulus <7µm,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,spp<9?m,0
Cyclotella spp>9µm /Stephanodiscus minutulus >7µm,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,spp>9?m,0
Cyclotella stelligera,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,stelligera,0
Cyclotella wuethrichiana,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,tub,1,0,small,Cyclotella,wuethrichiana,0
Cylindrospermum Bourget03,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,tub,NA,0,large,Cylindrospermum,Bourget03,0
Cymatopleura elliptica,Bacillariophyceae,Surirellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymatopleura,elliptica,0
Cymatopleura solea,Bacillariophyceae,Surirellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymatopleura,solea,0
Cymatopleura solea var. regula,Bacillariophyceae,Surirellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymatopleura,solea,0
Cymbella affinis,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,affinis,0
Cymbella amphicephala,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,amphicephala,0
Cymbella caespitosa,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,caespitosa,0
Cymbella cistula,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,cistula,0
Cymbella compacta,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,compacta,0
Cymbella cuspidata,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,cuspidata,0
Cymbella cymbiformis,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,cymbiformis,0
Cymbella delicatula,Bacillariophyceae,Cymbellales,1,0,1,0,Nanophytoplancton,0,0,box,0,0,small,Cymbella,delicatula,0
Cymbella ehrenbergii,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,ehrenbergii,0
Cymbella excisa,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,excisa,0
Cymbella helvetica var. curta,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,helvetica,0
Cymbella laevis,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,laevis,0
Cymbella lanceolata,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,lanceolata,0
Cymbella lata,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,lata,0
Cymbella leptoceros,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,leptoceros,0
Cymbella microcephala,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,microcephala,0
Cymbella minuta,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,1,box,0,0,large,Cymbella,minuta,0
Cymbella naviculiformis,Bacillariophyceae,Cymbellales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Cymbella,naviculiformis,0
