Genus + species name,Empire,Kingdom,Subkingdom,Phylum,Class,Order,Family,Genus,Species,Kind of infraspecific level: var./f./ssp.,Infraspecific name,Determination uncertainty level,Authorities,Class sensu Bourrelly (1974),INRA code,Cell length µm,Cell width µm,Cell thickness µm,Geometrical shape of the cell,Multiplicative factor to the geometrical shape to get the cell biovolume,Dividing factor to the geometrical shape to get the cell surface area,Cell surface area µm²,Cell biovolume µm3,Number of cells per colony,Cumulated surface area of cells in a colony µm²,Cumulated biovolume of cells in a colony µm3,Colony length (takes into account mucilage) µm,Colony width (takes into account mucilage) µm,Colony thickness (takes into account mucilage) µm,Geometrical shape of the colony,Multiplicative factor to the geometrical shape to get the colony biovolume (without mucilage),Dividing factor to the geometrical shape to get the colony surface area (take into account mucilage),Colony surface area µm² (with mucilage),Colony biovolume µm3 (without mucilage),Reference biovolume,Maximal length of the algal object,Notes on biovolumes,Organic carbon ratio (Wetzel et Likens 2000),Functional groups (Reynolds 2002),Functional groups (Padisak 2009),Morpho-classification (Kruk 2010),Nano/microphytoplankton,Mobility apparatus,Mobility apparatus: Flagella,Mobility apparatus: Raphe,Colonial,Filament,Heterotrophic,Mixotrophic,Autotrophic,<=5,8-May,15-Aug,15-30,30-60,>60
Peridinium cinctum,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,cinctum,,,,(O.F.MÜLLER) Ehrenberg,Dinophycées,20210,45,40,35,ell,1,1,16495.62,32970,1,16495.62,32970,,,,,,,,,32986.7,45,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium goslaviense,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales,Peridiniaceae ,Peridinium,goslaviense,,,,Woloszynska,Dinophycées,20280,25,17,16,ell,0.9,0.9,4485.42,3202.8,1,4485.42,3202.8,,,,,,,,,3204.4,25,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium inconspicuum,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,inconspicuum,,,,Lemmermann,Dinophycées,20220,25,20,16,ell,0.9,0.9,4909.94,3768,1,4909.94,3768,,,,,,,,,3769.9,25,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium inconspicuum var. remotum,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,inconspicuum,var.,remotum,,(Lindem.) Lef.,Dinophycées,20221,18,5,4,trel,0.9,0.9,885.99,169.56,1,885.99,169.56,,,,,,,,,169.56,18,moyenne lac du Bréven - 2005 - F. Rimet,0.13,Lo,Lo,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium inconspicuum var. contactum,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,inconspicuum,var.,contactum,,Lemmermann,Dinophycées,20222,25,20,16,ell,0.9,0.9,4909.94,3768,1,4909.94,3768,,,,,,,,,3769.9,25,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium sp.,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,sp.,,,Species,Ehrenberg,Dinophycées,20271,27,25.5,22,ell,1,1,6281.37,7926.93,1,6281.37,7926.93,,,,,,,,,9188.0325,27,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium sp. (petit),Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,sp.,f.,petit,Species,Ehrenberg,Dinophycées,20270,12,10,6,ell,1,1,964.49,376.8,1,964.49,376.8,,,,,,,,,377,12,Averages from literature,0.13,Lo,Lo,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium umbonatum,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,umbonatum,,,,F. Stein,Dinophycées,20230,30,22,20,ell,1,1,6162.28,6908,1,6162.28,6908,,,,,,,,,10362,30,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium umbonatum var. conjectum f. spiniferum,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,umbonatum,var.,conjectum f. spiniferum,,(Lindem.) Lef.,Dinophycées,20232,30,22,20,ell,1,1,6162.28,6908,1,6162.28,6908,,,,,,,,,10362,30,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium volzii,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,volzii,,,,Lemmermann,Dinophycées,20231,45,45,45,ell,1,1,19768.4,47688.75,1,19768.4,47688.75,,,,,,,,,47688.75,45,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Peridinium willei,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Peridiniales ,Peridiniaceae ,Peridinium,willei,,,,HUITFELDT-KAAS,Dinophycées,20240,45,40,35,ell,1,1,16495.62,32970,1,16495.62,32970,,,,,,,,,32986.7,45,Averages from literature,0.13,Lo,Lo,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Woloszynskia coronata,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Lophodiniales ,Lophodiniaceae ,Woloszynskia,coronata,,,,(Woloszynska) R.H. Thompson,Dinophycées,20275,30,27,20,ell,0.7,0.7,9910.02,5934.6,1,9910.02,5934.6,,,,,,,,,5937.6,30,Averages from literature,0.13,,,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Woloszynskia pseudopalustris,Eukaryota,Protozoa,Biciliata,Myzozoa ,Dinophyceae,Lophodiniales ,Lophodiniaceae ,Woloszynskia,pseudopalustris,,,,(Woloszynska) Kisselev,Dinophycées,20276,45,30,20,ell,0.8,0.8,13892.51,11304,1,13892.51,11304,,,,,,,,,21600,45,Averages from literature,0.13,,,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Chroomonas sp.,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Pyrenomonadales ,Chroomonadaceae,Chroomonas,sp.,,,Species,Hansgirg,Cryptophycées,30310,13,13,9,ell,1,1,1422.3,795.99,1,1422.3,795.99,,,,,,,,,796.4,13,Averages from literature,0.11,,X2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Chroomonas cf coerulea,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Pyrenomonadales ,Chroomonadaceae,Chroomonas,coerulea,,,,(Geitler) Skuja,Cryptophycées,30320,7,6,5,trel,1,1,386.61,109.9,1,386.61,109.9,,,,,,,,,109.9,7,Averages from Jean Claude Druart observations,0.11,,X2,I,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas cf. brevis,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,brevis,,espèce,,J.Schiller,Cryptophycées,30130,24,15,10,ell,1,1,2970.99,1884,1,2970.99,1884,,,,,,,,,1696.5,24,Averages from literature,0.11,Y,Y,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas cf. lucens,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,lucens,,espèce,,Skuja,Cryptophycées,30170,13,8,7,ell,1,1,961.52,380.99,1,961.52,380.99,,,,,,,,,381.2,13,Averages from literature,0.11,Y,Y,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas cf. pyrenoïdifera,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,pyrenoïdifera,,espèce,,Geitler,Cryptophycées,30160,16,10,10,ell,1,1,1571.26,837.33,1,1571.26,837.33,,,,,,,,,837.7,16,Averages from literature,0.11,Y,Y,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas marsonii,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,marsonii,,,,Skuja,Cryptophycées,30120,28,9,9,ell,1,1,2464.01,1186.92,1,2464.01,1186.92,,,,,,,,,1187.5,28,Averages from literature,0.11,Y,Y,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas ovata,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,ovata,,,,Ehrenberg,Cryptophycées,30105,50,13,11.5,trel,1,1,5984.74,3911.92,1,5984.74,3911.92,,,,,,,,,3911.916667,50,calcul avec tailles moyennes d'après Starmach 1974,0.11,Y,Y,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas rostratiformis,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,rostratiformis,,,,SKUJA,Cryptophycées,30110,39,14,9,ell,1,1,4441.9,2571.66,1,4441.9,2571.66,,,,,,,,,2573,39,Averages from literature,0.11,Y,Y,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas rostrata,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,rostrata,,,,Troitzkaja emend. Kiselev,Cryptophycées,30111,42,18,13,trel,1,1,6405.77,5143.32,1,6405.77,5143.32,,,,,,,,,5143.32,42,calcul avec tailles moyennes d'après Starmach 1974,0.11,Y,Y,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Cryptomonas sp.,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Cryptomonadales ,Cryptomonadaceae,Cryptomonas,sp.,,,Species,Ehrenberg,Cryptophycées,30100,22,11,9,ell,1,1,2160.63,1139.82,1,2160.63,1139.82,,,,,,,,,1368.5,22,Averages from literature,0.11,Y,Y,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Rhodomonas minuta,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Pyrenomonadales ,Pyrenomonadaceae ,Rhodomonas,minuta,,,,Skuja,Cryptophycées,30210,14,10,8,ell,1,1,1244.11,586.13,1,1244.11,586.13,,,,,,,,,527.8,14,Averages from literature,0.11,,X2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Rhodomonas minuta var. nannoplanctica,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Pyrenomonadales ,Pyrenomonadaceae ,Rhodomonas,minuta,var.,nannoplanctica,,H. Skuja,Cryptophycées,30220,9,4.7,4,ell,1,1,389.46,88.55,1,389.46,88.55,,,,,,,,,70.9,9,Averages from literature,0.11,,X2,I,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Plagioselmis nannoplanctica,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Pyrenomonadales ,Pyrenomonadaceae ,Plagioselmis,minuta,var.,nannoplanctica,,"(H. Skuja) G. Novarino, I.A.N. Lucas & S. Morrall",Cryptophycées,30221,9,4.7,4,ell,1,1,389.46,88.55,1,389.46,88.55,,,,,,,,,70.9,9,Averages from literature,0.11,,X2,I,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Plagioselmis lacustris,Eukaryota,Chromista,Cryptista,Cryptophyta,Cryptophyceae,Pyrenomonadales ,Pyrenomonadaceae ,Plagioselmis,"lacustris		",,,,(Pascher & Ruttner) P. Javornick,Cryptophycées,30222,14,10,8,ell,1,1,1244.11,586.13,1,1244.11,586.13,,,,,,,,,527.8,14,Averages from literature,0.11,,X2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena acus,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,acus,,,,Ehrenberg,Euglenophycées,40210,157,12,12,doco,0.5,0.5,36738.95,2957.88,1,36738.95,2957.88,,,,,,,,,5915.76,157,calcul avec tailles moyennes d'après Starmach 1983,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena gaumei,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,gaumei,,espèce,,Allorge & Lefèvre,Euglenophycées,40211,65,11,10,ell,0.5,0.5,13326.05,1870.92,1,13326.05,1870.92,,,,,,,,,2058.008333,65,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena korsikovii,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,korsikovii,,,,Gojdics,Euglenophycées,40212,30,13.5,10,ell,0.5,0.5,6937.01,1059.75,1,6937.01,1059.75,,,,,,,,,1430.6625,30,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena oxyuris,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,oxyuris,,,,Schmarda,Euglenophycées,40213,248.5,24,15,ell,0.5,0.5,95991.29,23408.7,1,95991.29,23408.7,,,,,,,,,37453.92,248.5,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena proxima,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,proxima,,,,P.A. Dangeard,Euglenophycées,40214,66,16.5,15,ell,0.5,0.5,20296.22,4274.33,1,20296.22,4274.33,,,,,,,,,4701.7575,66,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena rubra ,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,rubra,,,,A.D.Hardy,Euglenophycées,40215,120,45,15,ell,0.5,0.5,75425.68,21195,1,75425.68,21195,,,,,,,,,63585,120,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena sp.,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,sp.,,,Species,Ehrenberg,Euglenophycées,40200,40,7,7,ell,1,1,2734.21,1025.73,1,2734.21,1025.73,,,,,,,,,1026.3,40,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena tripteris,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,tripteris,,,,(Duj.) Klebs,Euglenophycées,40216,180,17,10,ell,0.5,0.5,48337.25,8007,1,48337.25,8007,,,,,,,,,13611.9,180,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Euglena viridis,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Euglena,viridis,,,,(O.F. Müller) Ehrenberg,Euglenophycées,40220,65,20,20,ell,1,1,12682.85,13606.67,1,12682.85,13606.67,,,,,,,,,13613.6,65,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Lepocinclis ovum,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Lepocinclis,ovum,,,,(Ehrenberg) Lemmermann,Euglenophycées,40501,33.5,20,15,ell,0.7,0.7,8232.84,3681.65,1,8232.84,3681.65,,,,,,,,,4908.866667,33.5,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus acuminatum,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,acuminatum,,,,Stokes,Euglenophycées,40420,34,30,15,ell,0.6,0.6,12870.06,4804.2,1,12870.06,4804.2,,,,,,,,,9180,34,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus cf. pusillus,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,pusillus,,espèce,,Lemmermann,Euglenophycées,40421,19,8,8,ell,0.7,0.7,2128.67,445.46,1,2128.67,445.46,,,,,,,,,445.4613333,19,Averages from literature,0.11,W1,W1,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus granulatus,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,granulatus,,,,Roll,Euglenophycées,40422,20.5,10,10,ell,0.7,0.7,2869.07,750.98,1,2869.07,750.98,,,,,,,,,750.9833333,20.5,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus longicauda,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,longicauda,,,,(Ehrenberg) DUJARDIN,Euglenophycées,40410,120,50,35,ell,0.5,0.5,100390.8,54950,1,100390.8,54950,,,,,,,,,105000,120,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus monilatus,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,monilatus,,,,Stokes,Euglenophycées,40423,32.5,20,15,ell,0.7,0.7,7987.98,3571.75,1,7987.98,3571.75,,,,,,,,,4762.333333,32.5,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus orbicularis,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,orbicularis,,,,Hubn.,Euglenophycées,40424,77.5,59,20,ell,0.7,0.7,45747.41,33501.18,1,45747.41,33501.18,,,,,,,,,98828.49083,77.5,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus pleuronectes var. pleuronectes,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,pleuronectes,var.,pleuronectes,,(O.F.Müller) Nitzsch ex Dujardin,Euglenophycées,40425,34,23,20,ell,0.7,0.7,10217.53,5729.45,1,10217.53,5729.45,,,,,,,,,6588.871333,34,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus sp.,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,sp.,,,Species,Dujardin,Euglenophycées,40426,120,50,35,ell,0.7,0.7,71707.72,76930,1,71707.72,76930,,,,,,,,,109900,20,Averages from Jean Claude Druart observations,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Phacus tortus,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Phacus,tortus,,,,(Lemmermann) Skv.,Euglenophycées,40427,81,34,20,ell,0.7,0.7,31086.32,20177.64,1,31086.32,20177.64,,,,,,,,,34301.988,81,Averages from literature,0.11,W1,W1,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Strombomonas sp.,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Strombomonas,sp.,,,Species,Defl.,Euglenophycées,40600,40,30,20,ell,1,1,9882.01,12560,1,9882.01,12560,,,,,,,,,18840,40,Averages from Jean Claude Druart observations,0.11,,W2,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas abrupta,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,abrupta,,,,Svirenko,Euglenophycées,40301,29.5,8.5,8,ell,1,1,2379.76,1049.81,1,2379.76,1049.81,,,,,,,,,1115.419583,29.5,Averages from literature,0.11,W2,W2,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas crebea,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,crebea,,,,Kellicott,Euglenophycées,40302,25,16,16,ell,1,1,3913.47,3349.33,1,3913.47,3349.33,,,,,,,,,3349.333333,25,Averages from literature,0.11,W2,W2,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas elegans,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,elegans,,,,Conrad,Euglenophycées,40305,9.5,9,9,ell,1,1,847.62,402.71,1,847.62,402.71,,,,,,,,,402,9.5,Averages from literature,0.11,W2,W2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas globularis,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,globularis,,,,(Awerinzew) Lemmermann,Euglenophycées,40304,22,20,20,ell,1,1,4308.34,4605.33,1,4308.34,4605.33,,,,,,,,,4605.333333,22,Averages from literature,0.11,W2,W2,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas hispida,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,hispida,,,,(Perty) Stein,Euglenophycées,40303,31.5,24.5,15,ell,1,1,6185.13,6058.24,1,6185.13,6058.24,,,,,,,,,9895.12125,31.5,Averages from literature,0.11,W2,W2,V,Microphytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas sp.,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,sp.,,,Species,Ehrenberg,Euglenophycées,40300,12,12,12,ell,1,1,1420.17,904.32,1,1420.17,904.32,,,,,,,,,904.8,12,Averages from literature,0.11,W2,W2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas volvocina,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,volvocina,,,,(Ehrenberg) Ehrenberg,Euglenophycées,40310,13,13,13,ell,1,1,1664.42,1149.76,1,1664.42,1149.76,,,,,,,,,1150.3,13,Averages from literature,0.11,W2,W2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Trachelomonas volvocina var. subglobosa,Eukaryota,Protozoa,Biciliata,Euglenozoa,Euglenophyceae ,Euglenales,Euglenaceae ,Trachelomonas,volvocina,var.,subglobosa,,Lemmermann,Euglenophycées,40311,16,14,14,ell,1,1,2199.76,1641.17,1,2199.76,1641.17,,,,,,,,,1641.173333,16,Averages from literature,0.11,W2,W2,V,Nanophytoplankton,1,1,0,0,0,0,1,0,,,,,,
Aulomonas purdyi,Eukaryota,Protozoa,Sarcomastigota,Choanozoa,Choanoflagellatea,Choanoflagellida,Salpingoecidae,Aulomonas,purdyi,,,,Lackey,Chrysophycées,50632,6.3,4.1,3,ell,1,1,226.74,40.55,1,226.74,40.55,,,,,,,,,55.42257,6.3,Averages from literature,0.11,,,II,Nanophytoplankton,1,1,0,0,0,1,0,0,,,,,,
Bicoeca campanulata,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,campanulata,,,,(Lackey) Bourrelly,Chrysophycées,50910,37,10,10,ell,0.5,0.5,7227.76,968.17,1,7227.76,968.17,,,,,,,,,968.7,37,Averages from literature,0.11,,,II,Microphytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca cf paropsis,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,paropsis,,,,Skuja,Chrysophycées,50912,8.5,5.5,5,ell,1,1,444.13,122.33,1,444.13,122.33,,,,,,,,,134.5620833,8.5,Averages from literature,0.11,,,II,Nanophytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca cf. campanulata petit morphotype,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,campanulata,f.,petit morphotype,,(Lackey) Bourrelly,Chrysophycées,50911,18,15,15,cone,0.5,0.5,5296.34,529.88,1,5296.34,529.88,,,,,,,,,1059.75,18,Annecy GL - cloche 0-18 - 17/01/2007,0.11,,,II,Nanophytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca cylindrica,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,cylindrica,,,,(Lack.) Bourrelly,Chrysophycées,50940,20,8,8,ell,0.5,0.5,3135.61,334.93,1,3135.61,334.93,,,,,,,,,669.9,20,Averages from literature,0.11,,,II,Microphytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca ovata,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,ovata,,,,Lemmermann,Chrysophycées,50920,24,8,8,ell,0.5,0.5,3757.84,401.92,1,3757.84,401.92,,,,,,,,,402,25,Averages from literature,0.11,,,II,Microphytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca planctonica,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,planctonica,,,,Kisselev,Chrysophycées,50921,11.5,13.5,9,ell,1,1,1292.27,731.23,1,1292.27,731.23,,,,,,,,,1096.84125,13.5,Averages from literature,0.11,,,II,Nanophytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca sp.,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,sp.,,,Species,H.J. Clark,Chrysophycées,50900,25,9,9,ell,0.5,0.5,4402.65,529.88,1,4402.65,529.88,,,,,,,,,530.1,25,Averages from literature,0.11,,,II,Microphytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bicoeca stellata,Eukaryota,Chromista,Chromobiota,Opalozoa,Bicosoecophyceae,Bicosoecales,Bicosoecaceae,Bicoeca,stellata,,,,Bourrelly,Chrysophycées,50930,17,6,6,ell,0.5,0.5,2002,160.14,1,2002,160.14,,,,,,,,,240.3,34,Averages from literature,0.11,,,II,Microphytoplankton,0,0,0,0,0,1,0,0,,,,,,
Bitrichia chodatii,Eukaryota,Chromista,Chromobiota,Ochrophyta,Chrysophyceae,Hibberdiales ,Stylococcaceae ,Bitrichia,chodatii,,,,(REVERDIN) Chodat,Chrysophycées,50110,15,5,5,ell,1,1,737.11,196.25,1,737.11,196.25,,,,,,,,,294.5,40,Averages from literature,0.11,,,II,Microphytoplankton,0,0,0,0,0,0,1,0,1,5,3,1,0,0
