"phyto_name","genus","species","exact.match","accepted","synonyms","orig.name","match.name","Empire","Kingdom","Phylum","Class","Order","Family"
"Cymbopleura naviculiformis","Cymbopleura","naviculiformis","1","1","","Cymbopleura naviculiformis","Cymbopleura naviculiformis","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae"
"Limnococcus limneticus","Limnococcus","limneticus","1","1","","Limnococcus limneticus","Limnococcus limneticus","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Cymbella ventricosa","Encyonema","ventricosum","1","0","Encyonema ventricosum","Cymbella ventricosa","Encyonema ventricosum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae"
"Closterium striolatum",NA,NA,"0","0",NA,"Closterium striolatum","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Sphaerocystis schroeteri","Sphaerocystis","schroeteri","1","1","","Sphaerocystis schroeteri","Sphaerocystis schroeteri","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Sphaerocystidaceae"
"Stichogloea olivacea var. sphaerica","Stichogloea","olivacea sphaerica","1","1","","Stichogloea olivacea sphaerica","Stichogloea olivacea sphaerica","Eukaryota","Chromista","Ochrophyta","Phaeothamniophyceae","Phaeothamniales","Phaeothamniaceae"
"Teilingia excavata","Teilingia","excavata","1","1","","Teilingia excavata","Teilingia excavata","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Tryblionella angustulata","Tryblionella","angustulata","1","1","","Tryblionella angustulata","Tryblionella angustulata","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae"
"Chlorophyceae unidentified (small)",NA,NA,"0","0",NA,"Chlorophyceae unidentified",NA,NA,NA,NA,NA,NA,NA
"Tabellaria flocculosa","Tabellaria","flocculosa","1","1","","Tabellaria flocculosa","Tabellaria flocculosa","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae"
"Planothidium lanceolatum","Planothidium","lanceolatum","1","1","","Planothidium lanceolatum","Planothidium lanceolatum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cocconeidales","Achnanthidiaceae"
"Stelexomonas dichotoma","Stelexomonas","dichotoma","1","1","","Stelexomonas dichotoma","Stelexomonas dichotoma","Eukaryota","Protozoa","Choanozoa","Choanoflagellatea","Craspedida","Salpingoecaceae"
"Apocalathium aciculiferum","Apocalathium","aciculiferum","1","1","","Apocalathium aciculiferum","Apocalathium aciculiferum","Eukaryota","Chromista","Miozoa","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae"
"Peridinium (small)",NA,NA,"0","0",NA,"Peridinium (small)","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Scenedesmus ellipticus","Scenedesmus","quadricauda ellipticus","1","0","Scenedesmus quadricauda ellipticus","Scenedesmus ellipticus","Scenedesmus quadricauda ellipticus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Phacus longicauda","Phacus","longicauda","1","1","","Phacus longicauda","Phacus longicauda","Eukaryota","Protozoa","Euglenozoa","Euglenophyceae","Euglenales [=Euglenida]","Phacaceae"
"Mougeotia gracillima","Mougeotia","gracillima","1","1","","Mougeotia gracillima","Mougeotia gracillima","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Zygnematales","Zygnemataceae"
"Aphanothecoidea","Radiocystis","aphanothecoidea","1","1","","Aphanothecoidea ","Radiocystis aphanothecoidea","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae"
"Katodinium fungiforme","Speroidium","fungiforme","1","0","Speroidium fungiforme","Katodinium fungiforme","Speroidium fungiforme","Eukaryota","Chromista","Miozoa","Dinophyceae","Thoracosphaerales","Pfiesteriaceae"
"Navicula lanceolata","Navicula","crucicula lanceolata","0","1","","Navicula lanceolata","Navicula crucicula lanceolata","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae"
"Diploneis ovalis","Diploneis","ovalis","1","1","","Diploneis ovalis","Diploneis ovalis","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Naviculales","Diploneidaceae"
"Amphora ovalis",NA,NA,"0","0",NA,"Amphora ovalis","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Choricystis parasitica","Choricystis","parasitica","1","1","","Choricystis parasitica","Choricystis parasitica","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae ordo incertae sedis","Coccomyxaceae"
"Cosmarium laeve","Cosmarium","laeve","1","1","","Cosmarium laeve","Cosmarium laeve","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium tenue","Cosmarium","tenue","1","1","","Cosmarium tenue","Cosmarium tenue","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Parvodinium umbonatum","Parvodinium","umbonatum","1","1","","Parvodinium umbonatum","Parvodinium umbonatum","Eukaryota","Chromista","Miozoa","Dinophyceae","Peridiniales","Peridiniaceae"
"Tribonema","Tribonema","","1","1","","Tribonema","Tribonema","Eukaryota","Chromista","Ochrophyta","Xanthophyceae","Tribonematales","Tribonemataceae"
"Aphanocapsa delicatissima","Aphanocapsa","delicatissima","1","1","","Aphanocapsa delicatissima","Aphanocapsa delicatissima","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Salpingoeca gracilis","Salpingoeca","gracilis","1","1","","Salpingoeca gracilis","Salpingoeca gracilis","Eukaryota","Protozoa","Choanozoa","Choanoflagellatea","Craspedida","Salpingoecaceae"
"Gloeocystis","Gloeocystis","","1","0","Sphaerellocystis,Chlamydocapsa,Gloeocapsa,Aphanocapsa,Coenocystis,Chlorococcum","Gloeocystis","Gloeocystis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Radiococcaceae"
"Anabaena minderi","Anabaena","minderi","1","1","","Anabaena minderi","Anabaena minderi","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae"
"Snowella lacustris","Snowella","lacustris","1","1","","Snowella lacustris","Snowella lacustris","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Coelosphaeriaceae"
"Cosmarium reniforme","Cosmarium","reniforme","1","1","","Cosmarium reniforme","Cosmarium reniforme","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Pseudanabaena galeata","Pseudanabaena","galeata","1","1","","Pseudanabaena galeata","Pseudanabaena galeata","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Pseudanabaenaceae"
"Treubaria triappendiculata","Treubaria","triappendiculata","1","1","","Treubaria triappendiculata","Treubaria triappendiculata","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Treubariaceae"
"Heterothrix","Heterothrix","","1","0","Xanthonema,Bumilleria","Heterothrix","Heterothrix","Eukaryota","Chromista","Ochrophyta","Xanthophyceae","Tribonematales","Tribonemataceae"
"Cyclotella distinguenda var unipunctata","Cyclotella","distinguenda unipunctata","1","1","","Cyclotella distinguenda unipunctata","Cyclotella distinguenda unipunctata","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Pseudodidymocystis planctonica","Pseudodidymocystis","planctonica","1","1","","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Dinobryon stokesii var. neustonicum",NA,NA,"0","0",NA,"Dinobryon stokesii+neustonicum",NA,NA,NA,NA,NA,NA,NA
"Aphanocapsa grevillei","Aphanocapsa","grevillei","1","1","","Aphanocapsa grevillei","Aphanocapsa grevillei","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Eunotia exigua","Eunotia","exigua","1","1","","Eunotia exigua","Eunotia exigua","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Eunotiales","Eunotiaceae"
"Navicula reinhardtii","Navicula","reinhardtii","1","1","","Navicula reinhardtii","Navicula reinhardtii","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae"
"Closterium aciculare","Closterium","aciculare","1","1","","Closterium aciculare","Closterium aciculare","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Closteriaceae"
"Cymbella affinis","Cymbella","affinis","1","1","","Cymbella affinis","Cymbella affinis","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae"
"Diatoma ehrenbergii","Diatoma","ehrenbergii","1","1","","Diatoma ehrenbergii","Diatoma ehrenbergii","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae"
"Diatoma vulgaris","Diatoma","vulgaris","1","1","","Diatoma vulgaris","Diatoma vulgaris","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae"
"Aphanocapsa parasitica","Aphanocapsa","parasitica","1","1","","Aphanocapsa parasitica","Aphanocapsa parasitica","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Chlorophyceae colony (small)",NA,NA,"0","0",NA,"Chlorophyceae ",NA,NA,NA,NA,NA,NA,NA
"Oscillatoria janus","Oscillatoria","janus","1","1","","Oscillatoria janus","Oscillatoria janus","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae"
"Pseudosphaerocystis lundii","Pseudosphaerocystis","lundii","1","1","","Pseudosphaerocystis lundii","Pseudosphaerocystis lundii","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Palmellopsidaceae"
"Aulacoseira islandica","Aulacoseira","islandica","1","1","","Aulacoseira islandica","Aulacoseira islandica","Eukaryota","Chromista","Bacillariophyta","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae"
"Meridion circulare","Meridion","circulare","1","1","","Meridion circulare","Meridion circulare","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae"
"Mallomonas elongata","Mallomonas","elongata","1","1","","Mallomonas elongata","Mallomonas elongata","Eukaryota","Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae"
"Aphanocapsa muscicola","Aphanocapsa","muscicola","1","1","","Aphanocapsa muscicola","Aphanocapsa muscicola","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Kephyrion petasatum","Kephyrion","petasatum","1","1","","Kephyrion petasatum","Kephyrion petasatum","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Messastrum gracile","Messastrum","gracile","1","1","","Messastrum gracile","Messastrum gracile","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Bicosoeca campanulata (small)","Bicosoeca","campanulata","1","0","","Bicosoeca campanulata","Bicosoeca campanulata","Eukaryota","Chromista","Bigyra","Bikosea","Bicosoecales","Bicosoecaceae"
"Monoraphidium convolutum","Monoraphidium","convolutum","1","1","","Monoraphidium convolutum","Monoraphidium convolutum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Pseudopedinella","Pseudopedinella","","1","0","Apedinella,Helicopedinella","Pseudopedinella","Pseudopedinella","Eukaryota","Chromista","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellaceae"
"Salpingoeca","Salpingoeca","","1","0","Stephanoeca,Crucispina,Diploeca,Lagenoeca","Salpingoeca","Salpingoeca","Eukaryota","Protozoa","Choanozoa","Choanoflagellatea","Craspedida","Salpingoecaceae"
"Leptolyngbya lagerheimii","Leptolyngbya","lagerheimii","1","1","","Leptolyngbya lagerheimii","Leptolyngbya lagerheimii","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Leptolyngbyaceae"
"Cyclostephanos dubius","Cyclostephanos","dubius","1","1","","Cyclostephanos dubius","Cyclostephanos dubius","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Synechocystis parvula","Synechocystis","parvula","1","1","","Synechocystis parvula","Synechocystis parvula","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Chrysoikos skujae","Chrysoikos","skujae","1","1","","Chrysoikos skujae","Chrysoikos skujae","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Bicosoeca ovata","Bicosoeca","ovata","1","1","","Bicosoeca ovata","Bicosoeca ovata","Eukaryota","Chromista","Bigyra","Bikosea","Bicosoecales","Bicosoecaceae"
"Planktothrix rubescens","Planktothrix","rubescens","1","1","","Planktothrix rubescens","Planktothrix rubescens","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae"
"Pseudodidymocystis fina","Pseudodidymocystis","fina","1","1","","Pseudodidymocystis fina","Pseudodidymocystis fina","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Aphanocapsa incerta (50 cells)","Aphanocapsa","incerta","1","1","","Aphanocapsa incerta","Aphanocapsa incerta","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Scenedesmus parisiensis","Scenedesmus","parisiensis","1","1","","Scenedesmus parisiensis","Scenedesmus parisiensis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Stephanodiscus hantzschii","Stephanodiscus","hantzschii","1","1","","Stephanodiscus hantzschii","Stephanodiscus hantzschii","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Cosmarium abbreviatum var. minus","Cosmarium","abbreviatum minus","1","1","","Cosmarium abbreviatum minus","Cosmarium abbreviatum minus","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Discostella stelligera","Discostella","stelligera","1","1","","Discostella stelligera","Discostella stelligera","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Pantocsekiella ocellata",NA,NA,"0","0",NA,"Pantocsekiella oata",NA,NA,NA,NA,NA,NA,NA
"Desmarella brachycalyx","Desmarella","brachycalyx","1","1","","Desmarella brachycalyx","Desmarella brachycalyx","Eukaryota","Protozoa","Choanozoa","Choanoflagellatea","Craspedida","Codonosigaceae"
"Cyclotella atomus","Cyclotella","atomus","1","1","","Cyclotella atomus","Cyclotella atomus","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Pantocsekiella comensis","Pantocsekiella","comensis","1","1","","Pantocsekiella comensis","Pantocsekiella comensis","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Kephyrion spirale","Kephyrion","spirale","1","1","","Kephyrion spirale","Kephyrion spirale","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Kephyrion littorale","Kephyrion","littorale","1","1","","Kephyrion littorale","Kephyrion littorale","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Fragilaria vaucheriae","Fragilaria","vaucheriae","1","1","","Fragilaria vaucheriae","Fragilaria vaucheriae","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae"
"Synechocystis (2 um)",NA,NA,"0","0",NA,"Synechocystis um)",NA,NA,NA,NA,NA,NA,NA
"Pseudotetraedriella kamillae","Pseudotetraedriella","kamillae","1","1","","Pseudotetraedriella kamillae","Pseudotetraedriella kamillae","Eukaryota","Chromista","Ochrophyta","Eustigmatophyceae","Eustigmatales","Monodopsidaceae"
"Synechocystis aquatilis","Synechocystis","aquatilis","1","1","","Synechocystis aquatilis","Synechocystis aquatilis","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Pseudokephyrion conicum","Pseudokephyrion","conicum","1","1","","Pseudokephyrion conicum","Pseudokephyrion conicum","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Nitzschia palea","Nitzschia","palea","1","1","","Nitzschia palea","Nitzschia palea","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae"
"Navicula cryptotenella","Navicula","cryptotenella","1","1","","Navicula cryptotenella","Navicula cryptotenella","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae"
"Tetraselmis cordiformis","Tetraselmis","cordiformis","1","1","","Tetraselmis cordiformis","Tetraselmis cordiformis","Eukaryota","Plantae","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendraceae"
"Epipyxis polymorpha","Epipyxis","polymorpha","1","1","","Epipyxis polymorpha","Epipyxis polymorpha","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Pseudokephyrion blatnense",NA,NA,"0","0",NA,"Pseudokephyrion blatnense",NA,NA,NA,NA,NA,NA,NA
"Aphanocapsa elachista","Aphanocapsa","elachista","1","1","","Aphanocapsa elachista","Aphanocapsa elachista","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Ankyra judayi","Ankyra","judayi","1","1","","Ankyra judayi","Ankyra judayi","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Characiaceae"
"Gomphonema minutum","Gomphonema","minutum","1","1","","Gomphonema minutum","Gomphonema minutum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae"
"Cymbella lanceolata","Cymbella","lanceolata","1","1","","Cymbella lanceolata","Cymbella lanceolata","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae"
"Komvophoron (3 um)","Komvophoron","minutum","0","1","","Komvophoron um)","Komvophoron minutum","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Gomontiellaceae"
"Gomphonema pumilum","Gomphonema","pumilum","1","1","","Gomphonema pumilum","Gomphonema pumilum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae"
"Dinobryon pediforme","Dinobryon","pediforme","1","1","","Dinobryon pediforme","Dinobryon pediforme","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Epipyxis planctonica","Epipyxis","planctonica","1","0","","Epipyxis planctonica","Epipyxis planctonica","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Goniochloris","Goniochloris","","1","0","Bracchiogonium,Polygoniochloris","Goniochloris","Goniochloris","Eukaryota","Chromista","Ochrophyta","Eustigmatophyceae","Goniochloridales","Goniochloridaceae"
"Biecheleria pseudopalustris","Biecheleria","pseudopalustris","1","1","","Biecheleria pseudopalustris","Biecheleria pseudopalustris","Eukaryota","Chromista","Miozoa","Dinophyceae","Suessiales","Suessiaceae"
"Aphanocapsa elachista colony 10 um","Aphanocapsa","elachista","1","1","","Aphanocapsa elachista","Aphanocapsa elachista","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Epipyxis","Epipyxis","","1","0","Dinobryon","Epipyxis","Epipyxis","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Merismopedia punctata","Merismopedia","tranquilla","1","0","Merismopedia tranquilla","Merismopedia punctata","Merismopedia tranquilla","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Monoraphidium dybowskii","Monoraphidium","dybowskii","1","1","","Monoraphidium dybowskii","Monoraphidium dybowskii","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Spondylosium pygmaeum","Spondylosium","pygmaeum","1","1","","Spondylosium pygmaeum","Spondylosium pygmaeum","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Pyramimonas micron",NA,NA,"0","0",NA,"Pyramimonas micron","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Encyonema minutum","Encyonema","minutum","1","1","","Encyonema minutum","Encyonema minutum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae"
"Aphanocapsa holsatica colony 10 um","Aphanocapsa","holsatica","1","1","","Aphanocapsa holsatica","Aphanocapsa holsatica","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Dinobryon cylindricum","Dinobryon","cylindricum","1","1","","Dinobryon cylindricum","Dinobryon cylindricum","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Cyclotella pseudostelligera","Discostella","pseudostelligera","1","0","Discostella pseudostelligera","Cyclotella pseudostelligera","Discostella pseudostelligera","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Aphanocapsa delicatissima colony 10 um","Aphanocapsa","delicatissima","1","1","","Aphanocapsa delicatissima","Aphanocapsa delicatissima","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Aphanothece clathrata var. rosea colony 10 um","Aphanothece","clathrata rosea","1","1","","Aphanothece clathrata rosea","Aphanothece clathrata rosea","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Aphanothecaceae"
"Chroococcus distans (4 cells)","Chroococcus","distans","1","1","","Chroococcus distans","Chroococcus distans","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae"
"Cyclotella distinguenda","Cyclotella","distinguenda","1","1","","Cyclotella distinguenda","Cyclotella distinguenda","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Bicosoeca campanulata","Bicosoeca","campanulata","1","0","","Bicosoeca campanulata","Bicosoeca campanulata","Eukaryota","Chromista","Bigyra","Bikosea","Bicosoecales","Bicosoecaceae"
"Chlamydomonas conica","Chlamydomonas","conica","1","1","","Chlamydomonas conica","Chlamydomonas conica","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae"
"Codosiga","Codosiga","","1","1","","Codosiga","Codosiga","Eukaryota","Protozoa","Choanozoa","Choanoflagellatea","Craspedida","Codonosigaceae"
"Ankistrodesmus falcatus","Ankistrodesmus","falcatus","1","1","","Ankistrodesmus falcatus","Ankistrodesmus falcatus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Aphanothece microscopica","Aphanothece","microscopica","1","1","","Aphanothece microscopica","Aphanothece microscopica","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Aphanothecaceae"
"Bambusina borreri","Bambusina","borreri","1","1","","Bambusina borreri","Bambusina borreri","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Bambusina delicatissima","Bambusina","delicatissima","1","1","","Bambusina delicatissima","Bambusina delicatissima","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Brachysira","Brachysira","","1","1","","Brachysira","Brachysira","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Naviculales","Brachysiraceae"
"Ceratium carolinianum","Ceratium","carolinianum","1","1","","Ceratium carolinianum","Ceratium carolinianum","Eukaryota","Chromista","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae"
"Chroococcus giganteus","Chroococcus","giganteus","1","1","","Chroococcus giganteus","Chroococcus giganteus","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae"
"Closterium","Closterium","","1","1","","Closterium","Closterium","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Closterium acerosum",NA,NA,"0","0",NA,"Closterium acerosum","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Closterium cornu","Closterium","cornu","1","1","","Closterium cornu","Closterium cornu","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Closteriaceae"
"Closterium parvulum","Closterium","parvulum","1","1","","Closterium parvulum","Closterium parvulum","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Closteriaceae"
"Closterium setaceum","Closterium","setaceum","1","1","","Closterium setaceum","Closterium setaceum","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Closteriaceae"
"Coelastrum cambricum","Coelastrum","cambricum","1","1","","Coelastrum cambricum","Coelastrum cambricum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Coelosphaerium kuetzingianum","Coelosphaerium","kuetzingianum","1","1","","Coelosphaerium kuetzingianum","Coelosphaerium kuetzingianum","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Coelosphaeriaceae"
"Colacium","Colacium","","1","0","Chlorangiella","Colacium","Colacium","Eukaryota","Protozoa","Euglenozoa","Euglenophyceae","Euglenales [=Euglenida]","Euglenaceae"
"Cosmarium botrytis","Cosmarium","botrytis","1","1","","Cosmarium botrytis","Cosmarium botrytis","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium circulare","Euastrum","circulare","1","0","Euastrum circulare","Cosmarium circulare","Euastrum circulare","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium contractum","Cosmarium","contractum","1","1","","Cosmarium contractum","Cosmarium contractum","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium cucumis var. magnum","Cosmarium","cucumis magnum","1","1","","Cosmarium cucumis magnum","Cosmarium cucumis magnum","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium moniliforme","Cosmarium","moniliforme","1","1","","Cosmarium moniliforme","Cosmarium moniliforme","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium nitidulum","Cosmarium","nitidulum","1","1","","Cosmarium nitidulum","Cosmarium nitidulum","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium ornatum",NA,NA,"0","0",NA,"Cosmarium ornatum","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Cosmarium phaseolus","Cosmarium","phaseolus","1","1","","Cosmarium phaseolus","Cosmarium phaseolus","Eukaryota","Plantae","Charophyta","Conjugatophyceae (Zygnematophyceae)","Desmidiales","Desmidiaceae"
"Cosmarium punctatum",NA,NA,"0","0",NA,"Cosmarium punctatum","multiplePartialMatch",NA,NA,NA,NA,NA,NA
