phyto_name,Empire,Kingdom,Phylum,Class,Order,Family,volume.um3,surface.area.um2,Colonial,SAV,MLD,MSV
Cosmarium botrytis,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,2120.6,485,0,0.228708856,30,6.86126568
Cosmarium depressum planctonicum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,6361.7,792,0,0.124495025,65,8.092176619
Cosmarium laeve,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,2225.3,462,0,0.207612457,25,5.190311419
Cosmarium phaseolus,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,3691.4,566,0,0.15332936,25,3.833234003
Cosmarium protumidum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,6358.5,757,0,0.119053236,30,3.571597075
Cosmarium pygmaeum heimerlii,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,118.692,668,0,5.628011997,9,50.65210798
Cosmarium reniforme,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,31256,409,0,0.013085488,52,0.680445354
Cosmarium subprotumidum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,4516,586,0,0.12976085,25,3.244021258
Cosmarium tenue,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,424,887,0,2.091981132,10,20.91981132
Cosmarium venustum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,8095.3125,810,0,0.100057904,37.5,3.752171395
Craticula accomoda,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,196,646,0,3.295918367,20,65.91836735
Crucigenia fenestrata,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,410.4,423.64,1,1.032261209,9,9.290350877
Crucigenia quadrata,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,376.8,542,1,1.438428875,20,28.76857749
Crucigenia tetrapedia,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,867,782,1,0.901960784,17,15.33333333
Crucigeniella irregularis,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,910,1214.29,1,1.334384615,20,26.68769231
Cryptomonas,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,1368.5,291,0,0.212641578,22,4.678114724
Cryptomonas brevis,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,1884,411,0,0.218152866,24,5.23566879
Cryptomonas curvata,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,5143.32,718,0,0.139598547,42,5.863138984
Cryptomonas marssonii,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,1187.5,342,0,0.288,28,8.064
Cryptomonas obovoidea,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,Chromista,Eukaryota,381.2,875,0,2.295383001,13,29.83997901
Cryptomonas ovata,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,3911.92,680,0,0.173827686,50,8.691384282
Cuspidothrix issatschenkoi,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,7850,3159.23,1,0.402449682,100,40.24496815
Cyanodictyon planctonicum,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,11304,35125.51,1,3.107352265,70,217.5146585
Cyanosarcina chroococcoides,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,1600,1000,1,0.625,20,12.5
Cyclostephanos dubius,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,2393.17,779,0,0.32550968,14.5,4.719890355
Cyclotella,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,98.13,844,0,8.600835626,5,43.00417813
Cyclotella atomus,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,98.13,826,0,8.417405483,5,42.08702741
Cyclotella cretica cyclopuncta,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,572.27,381,0,0.665769654,9,5.991926888
Cyclotella distinguenda,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,236.1,162,0,0.686149936,6.7,4.597204574
Cyclotella lemanensis,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,50240,622,0,0.012380573,40,0.49522293
Cyclotella meduanae,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,6280,116,0,0.018471338,20,0.369426752
Cyclotella meneghiniana,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,6280,116,0,0.018471338,20,0.369426752
Cyclotella planctonica,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,Chromista,Eukaryota,50240,622,0,0.012380573,40,0.49522293
Cyclotella radiosa,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,6280,116,0,0.018471338,20,0.369426752
Cylindrospermum,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,2692.55,3096.43,1,1.149999072,100,114.9999072
Cymbella,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,3024,423,1,0.139880952,40,5.595238095
Cymbella affinis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,768,74,0,0.096354167,40,3.854166667
Cymbella cistula,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,6626,670,0,0.101116813,77.5,7.836552973
Cymbella helvetica curta,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,2839.2,404,0,0.142293604,48,6.830092984
Cymbella neoleptoceros,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,1181.25,206,0,0.174391534,37.5,6.53968254
Cymbopleura amphicephala,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,470.4,769,0,1.634778912,28,45.77380952
Cymbopleura naviculiformis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,833,139,0,0.166866747,34,5.673469388
Delicatophycus delicatulus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,105,456,0,4.342857143,15,65.14285714
Denticula tenuis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,450,42,0,0.093333333,30,2.8
Desmarella brachycalyx,Eukaryota,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,63.6,373,0,5.864779874,40,234.591195
Desmodesmus aculeolatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,691.2,675.56,1,0.977372685,16,15.63796296
Desmodesmus armatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,1533.07,1767.86,1,1.153150215,21,24.21615451
Desmodesmus bicaudatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,665.6,810,1,1.216947115,16,19.47115385
Desmodesmus denticulatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,1260,2116.67,1,1.679896825,16,26.87834921
Desmodesmus dispar,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,311,670,1,2.154340836,15,32.31511254
Desmodesmus insignis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,947.97,1016.6,1,1.072396806,18.4,19.73210123
Desmodesmus magnus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,4069.44,2910,1,0.715086105,36,25.74309979
Desmodesmus opoliensis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,1760,1625,1,0.923295455,20,18.46590909
Desmodesmus serratus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1008,924.44,1,0.917103175,16,14.67365079
Desmodesmus spinosus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,1120,1125,1,1.004464286,20,20.08928571
Diatoma ehrenbergii,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,7200,506,1,0.070277778,100,7.027777778
Diatoma elongata,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,615.04,9,1,0.014633195,71,1.038956816
Diatoma moniliformis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,524.9,562,1,1.07068013,18,19.27224233
Diatoma tenuis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,1035,137,1,0.13236715,115,15.22222222
Diatoma vulgaris,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,3600,345,1,0.095833333,100,9.583333333
Dictyosphaerium ehrenbergianum,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,2051.466667,2826,1,1.37755102,60,82.65306121
Dictyosphaerium subsolitarium,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,120.36,642,1,5.333998006,20,106.6799601
Didymocystis,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,148.9,408,1,2.740094023,12,32.88112827
Dimorphococcus cordatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,828.96,2211.34,1,2.667607605,11,29.34368365
Dimorphococcus lunatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,6423.393333,10920.38,1,1.700095173,70,119.0066621
Dinobryon,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,1150,201,0,0.174782609,13,2.272173913
Dinobryon bavaricum,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,150.8,257,1,1.704244032,30,51.12732095
Dinobryon caliciforme,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,341.28,406,0,1.189639006,30,35.68917018
Dinobryon cylindricum,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista,Eukaryota,805.8,733,1,0.909655001,100,90.96550012
Dinobryon divergens,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista,Eukaryota,805.8,733,1,0.909655001,150,136.4482502
Dinobryon faculiferum,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,104.7,258,1,2.464183381,25,61.60458453
Dinobryon pediforme,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,2034.72,100,1,0.049146811,40,1.965872454
Dinobryon sertularia,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista,Eukaryota,916.3,743,1,0.810869802,150,121.6304704
Dinobryon sertularia protuberans,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,916.3,705,1,0.769398669,150,115.4098003
Dinobryon sociale americanum,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,805.8,733,1,0.909655001,150,136.4482502
Dinobryon sociale stipitatum,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,805.8,733,1,0.909655001,150,136.4482502
Dinobryon stokesii neustonicum,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,201.6,169,1,0.838293651,22,18.44246032
Dinosphaera palustris,Eukaryota,Chromista,Miozoa,Dinophyceae,Peridiniales,Dinosphaeraceae,10300.77,308,0,0.029900677,27,0.807318288
Diploneis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,4320,359,0,0.083101852,36,2.991666667
Diploneis elliptica,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,684.3,888,0,1.297676458,26,33.7395879
Diploneis ovalis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,955.5,172,0,0.180010466,30,5.400313972
Discostella pseudostelligera,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,269.26,203,0,0.753918146,7,5.277427022
Discostella stelligera,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,572.27,381,0,0.665769654,9,5.991926888
Discostella woltereckii,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,785,479,0,0.610191083,10,6.101910828
Dolichospermum circinale,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,4021.2,2110.08,1,0.524738884,100,52.47388839
Dolichospermum flosaquae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,1962.5,1609.25,1,0.82,100,82
Dolichospermum lemmermannii,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,961.63,1118.23,1,1.162848497,100,116.2848497
Dolichospermum macrosporum,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,6358.5,2953.17,1,0.464444444,100,46.44444444
Dolichospermum mendotae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,961.63,1118.23,1,1.162848497,100,116.2848497
Dolichospermum planctonicum,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,4415.63,2380.12,1,0.539021612,100,53.90216119
Dolichospermum solitarium,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,9498.5,3493.25,1,0.367768595,100,36.7768595
Dolichospermum spiroides,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,3846.5,2274.93,1,0.591428571,100,59.14285714
Drepanochloris nannoselene,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,8.24,27,1,3.276699029,7,22.9368932
Echinosphaerella limnetica,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales incertae sedis,605.82,750,0,1.237991483,10.5,12.99891057
Elakatothrix,Eukaryota,Plantae,Charophyta,Klebsormidiophyceae,Klebsormidiales,Elakatotrichaceae,1005.2,7022.11,1,6.985783924,100,698.5783924
Elakatothrix gelatinosa,Eukaryota,Plantae,Charophyta,Klebsormidiophyceae,Klebsormidiales,Elakatotrichaceae,1005.2,7022.11,1,6.985783924,100,698.5783924
Encyonema leibleinii,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,6720,604,1,0.089880952,60,5.392857143
Encyonema minutum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,110.25,529,1,4.798185941,21,100.7619048
Encyonema silesiacum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,821,84,1,0.102314251,29,2.967113276
Encyonema ventricosum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,210,749,1,3.566666667,20,71.33333333
Encyonopsis microcephala,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,210,643,1,3.061904762,24,73.48571429
Epipyxis,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,305.21,545,0,1.785655778,18,32.141804
Epipyxis condensata,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,196.1715,46,1,0.2344887,17,3.986307899
Epipyxis cylindrica,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,530.9,326,0,0.61405161,30,18.42154831
Epipyxis planctonica,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,1006.06,858,0,0.852831839,44.5,37.95101684
Epipyxis polymorpha,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,805.41,697,0,0.865397748,28.5,24.66383581
Epithemia,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,32463.3,736,0,0.022671755,63,1.428320596
Epithemia gibba,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,9180,683,0,0.074400871,102,7.588888889
Epithemia operculata,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,169.6,211,0,1.244103774,6,7.464622642
Euastrum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,15000,458,0,0.030533333,50,1.526666667
Eucocconeis flexella,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,2511.6,399,0,0.158862876,39,6.195652174
Eudorina elegans,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,76302,25434,1,0.333333333,70,23.33333333
Euglena,Eukaryota,Protozoa,Euglenozoa,Euglenophyceae,Euglenales [=Euglenida],Euglenaceae,1026.3,376,0,0.366364611,40,14.65458443
Eunotia,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,1137.4,134,1,0.117812555,47,5.537190083
Eunotia arcus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,476,835,1,1.754201681,30,52.62605042
Eunotia bilunaris,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,576,40,1,0.069444444,60,4.166666667
Eunotia exigua,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,130,416,1,3.2,18,57.6
Eunotia naegelii,Eunotiaceae,Eunotiales,Bacillariophyceae,Bacillariophyta,Chromista,Eukaryota,880,320,1,0.363636364,200,72.72727273
Eutetramorus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,13500,5400,1,0.4,30,12
Fotterella tetrachlorelloides,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,5086.8,8852.96,1,1.74037902,40,69.61516081
Fragilaria,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,90,484,1,5.377777778,15,80.66666667
Fragilaria acus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,560,677,0,1.208928571,35,42.3125
Fragilaria capucina,Eukaryota,Chromista,Bacillariophyta,Baciallariophyceae,Fragilariales,Fragilariaceae,172.8,734,1,4.247685185,100,424.7685185
Fragilaria crotonensis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,432,65,1,0.150462963,100,15.0462963
Fragilaria perminuta,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,172.73,581,0,3.363631101,23.5,79.04533086
Fragilaria radians,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,504,37,1,0.073412698,45,3.303571429
Fragilaria rumpens,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Chromista,Eukaryota,486,753,1,1.549382716,40,61.97530864
Fragilaria tenera,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,212.6041667,306,1,1.439294463,284.4,409.3353454
Fragilaria tenera lemanensis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,385.88,863,1,2.236446564,45,100.6400954
Fragilaria tenera nanana,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,138.9,557,1,4.010079194,45,180.4535637
Fragilaria vaucheriae,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,283.5,741,1,2.613756614,30,78.41269841
Fragilariforma virescens,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,172.8,734,1,4.247685185,100,424.7685185
Franceia amphitricha,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,130.8333333,563,0,4.303184714,10,43.03184714
Franceia ovalis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,785,45,0,0.057324841,15,0.859872611
Frustulia,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,1944,215,1,0.110596708,45,4.976851852
Frustulia rhomboides,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,4785,616,1,0.128735632,100,12.87356322
Fusola viridis J.W.Snow,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Cylindrocapsaceae,1130.4,3514.38,1,3.108970276,60,186.5382166
Glenodinium,Eukaryota,Chromista,Miozoa,Dinophyceae,Peridiniales,Peridiniales incertae sedis,14137.2,843,0,0.059629913,30,1.788897377
Gloeocystis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,66986.67,62424.81,1,0.931898988,10,9.318989883
Gloeocystis vesiculosa,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,44680,15624.05,1,0.34968778,40,13.98751119
Golenkinia radiata,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Neochloridaceae,2458.2,761,0,0.309576113,15,4.643641689
Golenkiniopsis,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,267.95,266,0,0.992722523,8,7.941780183
Golenkiniopsis longispina,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,267.9466667,266,0,0.992734872,8,7.94187898
Gomphonema,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,972,64,0,0.065843621,27,1.777777778
Gomphonema minutum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,450,799,0,1.775555556,25,44.38888889
Gomphonema olivaceum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,630,870,0,1.380952381,30,41.42857143
Gomphonema parvulum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,480,724,0,1.508333333,20,30.16666667
Gomphonema pumilum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,270,613,0,2.27037037,25,56.75925926
Gomphonema truncatum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,1262,127,0,0.100633914,28.5,2.868066561
Gomphosphaeria,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Gomphosphaeriaceae,2009.6,1420.17,1,0.706692874,120,84.8031449
Gonatozygon monotaenium,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Gonatozygaceae,1766.25,151,0,0.085491861,90,7.694267516
Goniochloris,Eukaryota,Chromista,Ochrophyta,Eustigmatophyceae,Goniochloridales,Goniochloridaceae,560,637,0,1.1375,20,22.75
Goniochloris fallax,Eukaryota,Chromista,Ochrophyta,Eustigmatophyceae,Goniochloridales,Goniochloridaceae,806.4,754,0,0.935019841,24,22.44047619
Goniochloris mutica,Eukaryota,Chromista,Ochrophyta,Eustigmatophyceae,Goniochloridales,Goniochloridaceae,180.9,213,0,1.177446103,12,14.12935323
Gonium pectorale,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Goniaceae,19360,7810,1,0.403409091,80,32.27272727
Gonyaulax apiculata,Eukaryota,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,20525.1,216,0,0.0105237,40,0.42094801
Gregiochloris lacustris,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,3768,11718.03,1,3.109880573,35,108.8458201
Gymnodinium,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,3611,656,0,0.181667128,20,3.633342564
Gymnodinium lantzschii,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,212.1,686,0,3.234323432,9,29.10891089
Gymnodinium mitratum,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,2403.3,555,0,0.230932468,30,6.927974036
Gymnodinium purpureum,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,4605.333333,544,0,0.118123914,22,2.598726115
Gyrodinium helveticum,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gyrodiniaceae,6230.8,857,0,0.137542531,35,4.813988573
Hannaea arcus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,720,293,1,0.406944444,80,32.55555556
Hantzschia amphioxys,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,1344,421,0,0.313244048,80,25.05952381
Hariotina reticulata,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,3877.27,923.16,1,0.238095361,40,9.523814436
Hegewaldia parvula,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,179.5033333,167,0,0.930344841,7,6.512413884
Heimansia pusilla,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,313.6,21,0,0.066964286,11,0.736607143
Heterothrix,Eukaryota,Chromista,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,1589.63,1444.79,1,0.908884457,100,90.88844574
Hippodonta capitata,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,252,658,0,2.611111111,20,52.22222222
Hyaloraphidium contortum,Eukaryota,Fungi,Fungi Phylum,Fungi Class,Fungi Order,Fungi Family,148.4,217,0,1.462264151,35,51.17924528
